Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
0017/O;;manifattura parigina;XVIII;pendolino;marmo/ bronzo;http://93.62.170.226/foto/M0010501.jpg;http://www.palazzomadamatorino.it/it/node/30551
0021/O;;Donnaver Martin - Ratisbona;XVII;orologio da tavolo;bronzo dorato;http://93.62.170.226/foto/M0010505.jpg;http://www.palazzomadamatorino.it/it/node/30554
0025/O;;Augusta;XVII;orologio da tavolo;bronzo dorato;http://93.62.170.226/foto/M0010509.jpg;http://www.palazzomadamatorino.it/it/node/30558
0026/O;;arte tedesca;XVI;orologio da tavolo;bronzo dorato;http://93.62.170.226/foto/M0010510.jpg;http://www.palazzomadamatorino.it/it/node/30559
0027/O;;Baucour;;orologio da tavolo;marmo/ metallo;http://93.62.170.226/foto/M0010511.jpg;http://www.palazzomadamatorino.it/it/node/30560
0028/O;;Robert-Parigi;;orologio da tavolo;;http://93.62.170.226/foto/M0010512.jpg;http://www.palazzomadamatorino.it/it/node/30561
0044/O;;arte francese;ca. 1740 - ca. 1750;personaggio/ mostro marino/ fig. femminile incatenata;legno/ bronzo dorato;http://93.62.170.226/foto/M0010530.jpg;http://www.palazzomadamatorino.it/it/node/16358
0045/O;;arte francese;ca. 1770 - ca. 1780;scena campestre con cacciatore;legno laccato/ bronzo dorato;http://93.62.170.226/foto/M0010531A.jpg;http://www.palazzomadamatorino.it/it/node/16359
0048/O;;fabbrica francese;XVIII;orologio da muro;legno dipinto/ bronzo/ ferro dorato;http://93.62.170.226/foto/M0010534.jpg;http://www.palazzomadamatorino.it/it/node/30569
0058/O;;manifattura tedesca;XVII - XVI;orologio da persona;ottone dorato/ acciaio;http://93.62.170.226/foto/M0010544.jpg;http://www.palazzomadamatorino.it/it/node/30576
0343/A;;orafo piemontese;XV;teca a edicola;argento;http://93.62.170.226/foto/M0010642.jpg;http://www.palazzomadamatorino.it/it/node/16381
0346/A;;arte lombarda;XV;nicchie cuspidate/ contrafforti gotici/ serie di santi;argento/ cristallo di rocca;http://93.62.170.226/foto/M0010645.jpg;http://www.palazzomadamatorino.it/it/node/16383
0348/A;Tiffany & Co - New York;;ca. 1873 - ca. 1873;teste femminile/ ampio rettangolo/ figura di donna;argento;http://93.62.170.226/foto/M0010647.jpg;http://www.palazzomadamatorino.it/it/node/16385
0360/A;;fabbrica piemontese;XVIII;lampadario;argento/ cristallo di rocca;http://93.62.170.226/foto/M0010661.jpg;http://www.palazzomadamatorino.it/it/node/30666
0363/A;;arte tardoromana;VI;cucchiaio;argento dorato;http://93.62.170.226/foto/M0010665.jpg;http://www.palazzomadamatorino.it/it/node/30669
0364/A;;arte tardoromana;VI;cucchiaio;argento;http://93.62.170.226/foto/M0010666A.jpg;http://www.palazzomadamatorino.it/it/node/30670
0365/A;;arte tardoromana;VI;cucchiaio;argento;http://93.62.170.226/foto/M0010667.jpg;http://www.palazzomadamatorino.it/it/node/30671
0366/A;;arte tardoromana;VI;cucchiaio;argento;http://93.62.170.226/foto/M0010668.jpg;http://www.palazzomadamatorino.it/it/node/30672
0370/A;;arte tardoromana;VI;cucchiaio;argento;http://93.62.170.226/foto/M0010672.jpg;http://www.palazzomadamatorino.it/it/node/30676
0371/A;;arte tardoromana;VI;cucchiaio;argento;http://93.62.170.226/foto/M0010673.jpg;http://www.palazzomadamatorino.it/it/node/30677
1383/T;;Italia meridionale;XVI - XVII;motivo a scacchiera;lino/ filo dorato/ metallo;http://93.62.170.226/foto/M0010898.jpg;http://www.palazzomadamatorino.it/it/node/16555
1384/T;;artigianato valdostano;;costume;;http://93.62.170.226/foto/M0010899.jpg;http://www.palazzomadamatorino.it/it/node/30736
1565/T;;manifattura italiana;XVII;motivi a mazze/ piccoli tralci fioriti;velluto di seta cesellato ad un corpo laminato;http://93.62.170.226/foto/M0010957.jpg;http://www.palazzomadamatorino.it/it/node/16598
1581/T;;fabbrica genovese;XVI;un'anfora/ infiorescenze/ foglie di acanto con draghi/ rapaci/ elementi vegetali;velluto di seta cesellato ad un corpo;http://93.62.170.226/foto/M0010974.jpg;http://www.palazzomadamatorino.it/it/node/16614
1502/T;;manifattura italiana;XV - XVI;frammento di tessuto;seta/ filato metallico;http://93.62.170.226/foto/M0011602.jpg;http://www.palazzomadamatorino.it/it/node/30840
1509/T;;arte italiana;XVI;Crocifissione/ Maddalena/ monogramma di Cristo;seta/ filato metallico;http://93.62.170.226/foto/M0011612.jpg;http://www.palazzomadamatorino.it/it/node/17133
1513/T;;manifattura italiana;XVI - XVII;telo;seta;http://93.62.170.226/foto/M0011617.jpg;http://www.palazzomadamatorino.it/it/node/30844
1515/T;;manifattura italiana;XVI;paliotto d'altare;seta/ filato metallico;http://93.62.170.226/foto/M0011619.jpg;http://www.palazzomadamatorino.it/it/node/30845
1533/T;;manifattura italiana;XVI;maglie/ volute/ foglie/ stella/ corona;seta;http://93.62.170.226/foto/M0011638.jpg;http://www.palazzomadamatorino.it/it/node/17151
1636/T;;arte genovese;XVIII;foglie/ bacche;seta/ filato metallico;http://93.62.170.226/foto/M0011667.jpg;http://www.palazzomadamatorino.it/it/node/17174
2474/T;;Bruxelles;XIX;fiori/ tre pois;cotone/ ago/ fusello;http://93.62.170.226/foto/M0011781.jpg;http://www.palazzomadamatorino.it/it/node/17188
2476/T;;Fiandre;XVIII;fiori;lino lavorato a fusello;http://93.62.170.226/foto/M0011783.jpg;http://www.palazzomadamatorino.it/it/node/17190
2477/T;;Belgio;XIX;cornici sagomate ed irregolari;lino lavorato a fusello;http://93.62.170.226/foto/M0011784.jpg;http://www.palazzomadamatorino.it/it/node/17191
2479/T;;arte francese;XVIII;serto con frutti/ foglie/ stelline festonate/ pois;lino/ ago;http://93.62.170.226/foto/M0011786.jpg;http://www.palazzomadamatorino.it/it/node/17192
2480/T;;Fiandre;XIX;corolle/ foglie stilizzate/ mandorle traforate;lino lavorato a fusello;http://93.62.170.226/foto/M0011787.jpg;http://www.palazzomadamatorino.it/it/node/17193
2481/T;;arte italiana;XVII;volute/ motivi geometrici/ foglie;lino lavorato ad ago;http://93.62.170.226/foto/M0011788.jpg;http://www.palazzomadamatorino.it/it/node/17194
2482/T;;arte italiana;XVIII - XIX;elementi architettonici/ fontane/ uccelli;lino lavorato ad ago;http://93.62.170.226/foto/M0011789.jpg;http://www.palazzomadamatorino.it/it/node/17195
2483/T;;arte italiana;XVIII - XIX;motivi stilizzati/ animali;lino lavorato a fusello/ lino lavorato ad ago;http://93.62.170.226/foto/M0011790.jpg;http://www.palazzomadamatorino.it/it/node/17196
2484/T;;arte tedesca;XVIII - XIX;rombi/ mazzi di tre fiori;lino lavorato ad ago;http://93.62.170.226/foto/M0011791.jpg;http://www.palazzomadamatorino.it/it/node/17197
2485/T;;arte lombarda;XVII;tralci/ motivi floreali;lino lavorato a fusello;http://93.62.170.226/foto/M0011792.jpg;http://www.palazzomadamatorino.it/it/node/17198
2486/T;;Italia;XVI - XVII;motivi geometrici/ losanghe;lino lavorato ad ago;http://93.62.170.226/foto/M0011793.jpg;http://www.palazzomadamatorino.it/it/node/17199
2487/T;;arte italiana;XVIII;motivo a ventaglietti;oro fusellato;http://93.62.170.226/foto/M0011794.jpg;http://www.palazzomadamatorino.it/it/node/17200
2488/T;;arte italiana;XVII - XVIII;motivo vegetale;argento dorato/ argento lavorato a fusello;http://93.62.170.226/foto/M0011795.jpg;http://www.palazzomadamatorino.it/it/node/17201
2489/T;;arte italiana;XVII;tralci stilizzati/ foglie;oro lavorato a fusello/ argento lavorato a fusello;http://93.62.170.226/foto/M0011796.jpg;http://www.palazzomadamatorino.it/it/node/17202
2490/T;;arte italiana;XVII - XVIII;motivo vegetale;argento dorato/ argento lavorato a fusello;http://93.62.170.226/foto/M0011797.jpg;http://www.palazzomadamatorino.it/it/node/17203
2491/T;;arte italiana;XIX;disegno a meandro ondulato;lino lavorato a uncinetto;http://93.62.170.226/foto/M0011798A.jpg;http://www.palazzomadamatorino.it/it/node/17204
2492/T;;arte italiana;XVI;infiorescenze/ rami;lino lavorato ad ago;http://93.62.170.226/foto/M0011799.jpg;http://www.palazzomadamatorino.it/it/node/17205
2493/T;;Italia meridionale;XIX;animali affrontati/ alberi della vita/ cacciatori;lino lavorato ad ago;http://93.62.170.226/foto/M0011800.jpg;http://www.palazzomadamatorino.it/it/node/17206
2494/T;;Bruxelles;XVIII;tralci con grandi fiori/ foglie/ frutti del melograno;lino lavorato a fusello;http://93.62.170.226/foto/M0011801.jpg;http://www.palazzomadamatorino.it/it/node/25518
2495/T;;arte italiana;XVI;stelle/ triangoli;lino lavorato ad ago;http://93.62.170.226/foto/M0011802A.jpg;http://www.palazzomadamatorino.it/it/node/17207
2496/T;;arte italiana;XIX;ramo ondulante/foglie di vite/ grappoli di uva/fiori;lino lavorato ad ago e fusello;http://93.62.170.226/foto/M0011803.jpg;http://www.palazzomadamatorino.it/it/node/17208
2510/T;;arte italiana;XVI;putti alati/ arco/ frecce/ feretea/ leoni/ uccelli/ delfini;tela di lino/ filo di seta;http://93.62.170.226/foto/M0011811.jpg;http://www.palazzomadamatorino.it/it/node/17216
2511/T;;arte italiana;XVII;rametti/ foglie;tela di lino/ filaticcio di seta;http://93.62.170.226/foto/M0011812A.jpg;http://www.palazzomadamatorino.it/it/node/17217
2512/T;;arte italiana;XVIII;fiori/ foglie/ rametti/ geometrici;tela di lino/ filo di seta;http://93.62.170.226/foto/M0011813.jpg;http://www.palazzomadamatorino.it/it/node/25519
2525/T;;arazziere di Bruxelles;1530 - ca. 1530;rami di fiori/ bacche/ frutti e grappoli;arazzo;http://93.62.170.226/foto/M0011826.jpg;http://www.palazzomadamatorino.it/it/node/25524
2534/T;Guebels Frans;arazziere di Bruxelles;XVI;fiori/ frutta/ stemma/ figure allegoriche;arazzo;http://93.62.170.226/foto/M0011828.jpg;http://www.palazzomadamatorino.it/it/node/25525
2535/T;;arazziere di Bruxelles;XVII;la Giustizia;arazzo;http://93.62.170.226/foto/M0011829.jpg;http://www.palazzomadamatorino.it/it/node/17222
2537/T;Van der Streckn Gerard;arazziere di Bruxelles;1667 - ca. 1667;collare dell'Annunziata/ monogramma;arazzo;http://93.62.170.226/foto/M0011831.jpg;http://www.palazzomadamatorino.it/it/node/17223
2538/T;;Torino;1750 - 1756;Consacrazione delle spoglie dei galati al santuario di Atena;arazzo;http://93.62.170.226/foto/M0011832.jpg;http://www.palazzomadamatorino.it/it/node/25527
2539/T;De Maecht Philippe;Parigi;1615 - 1619;giustizia/ giovane re/ stemma/ collare dell'annunziata;arazzo;http://93.62.170.226/foto/M0011833.jpg;http://www.palazzomadamatorino.it/it/node/17224
2541/T;Demignot Francesco;Torino;1745 - 1748;guerriero accanto ad un'urna scolpita e a rovine;arazzo;http://93.62.170.226/foto/M0011835.jpg;http://www.palazzomadamatorino.it/it/node/17225
2542/T;Demignot Francesco;Torino;1745 - 1748;guerriero tra rovine;arazzo;http://93.62.170.226/foto/M0011836.jpg;http://www.palazzomadamatorino.it/it/node/17226
2543/T;Demignot Francesco;Torino;1745 - 1748;guerriero presso una balaustra con statua;arazzo;http://93.62.170.226/foto/M0011837.jpg;http://www.palazzomadamatorino.it/it/node/17227
2544/T;Dini Antonio;Torino;1745 - 1748;guerrieri tra architettura in rovina;arazzo;http://93.62.170.226/foto/M0011838.jpg;http://www.palazzomadamatorino.it/it/node/17228
2545/T;Demignot Francesco;Torino;1745 - 1748;guerrieri tra rovine di antichi edifici;arazzo;http://93.62.170.226/foto/M0011839.jpg;http://www.palazzomadamatorino.it/it/node/17229
2546/T;Demignot Francesco;Torino;1763 - 1763;viandante assalito da un cane;arazzo;http://93.62.170.226/foto/M0011840.jpg;http://www.palazzomadamatorino.it/it/node/17230
2547/T;Demignot Francesco;Torino;1745 - ca. 1745;giovinetto che pesca in un torrente;arazzo;http://93.62.170.226/foto/M0011841.jpg;http://www.palazzomadamatorino.it/it/node/17231
2548/T;Demignot Francesco;Torino;1763 - ca. 1763;giocoliere savoiardo che fa ballare un finto orso;arazzo;http://93.62.170.226/foto/M0011842.jpg;http://www.palazzomadamatorino.it/it/node/17232
2549/T;De Vos Judocus;Bruxelles;XVIII;l'Asia;arazzo;http://93.62.170.226/foto/M0011843.jpg;http://www.palazzomadamatorino.it/it/node/17233
2564/T;;Parigi;XVIII;copriletto;seta/ seta operata/ filato dorato;http://93.62.170.226/foto/M0011853.jpg;http://www.palazzomadamatorino.it/it/node/30864
1531/L;;intagliatore dell'Alta Valle di Susa;XVII;credenzino;legno;http://93.62.170.226/foto/M0012516.jpg;http://www.palazzomadamatorino.it/it/node/30943
1532/L;;intagliatore piemontese;XVI;San Giovanni Battista;legno;http://93.62.170.226/foto/M0012517.jpg;http://www.palazzomadamatorino.it/it/node/25532
1533/L;;arte piemontese;XVIII;crocifisso;ferro;http://93.62.170.226/foto/M0012518.jpg;http://www.palazzomadamatorino.it/it/node/30944
1535/L;;scultore dell'Alto Piemonte;ca. 1530 - ca. 1530;Ultima Cena;legno;http://93.62.170.226/foto/M0012520.jpg;http://www.palazzomadamatorino.it/it/node/17606
1547/L;;arte piemontese;XVIII;pannello/ mensola;legno laccato/ legno dorato;http://93.62.170.226/foto/M0012532.jpg;http://www.palazzomadamatorino.it/it/node/30957
1568/L;;intagliatore genovese;XVI;fiore/ sole raggiato/ stemma;legno;http://93.62.170.226/foto/M0012553.jpg;http://www.palazzomadamatorino.it/it/node/25533
1579/L;;arte lombarda;XVIII;cassettone;legno impiallacciato/ legno pregiato;http://93.62.170.226/foto/M0012565.jpg;http://www.palazzomadamatorino.it/it/node/30986
1580/L;;arte lombarda;XVIII;cassettone;legno impiallacciato/ legno pregiato/ bronzo dorato;http://93.62.170.226/foto/M0012566.jpg;http://www.palazzomadamatorino.it/it/node/30987
1581/L;;arte piemontese;XIX;cassettone;legno impiallacciato/ radica/ legno dorato;http://93.62.170.226/foto/M0012567.jpg;http://www.palazzomadamatorino.it/it/node/30988
1582/L;;arte piemontese;XIX;cassettone;legno impiallacciato/ radica/ legno dorato;http://93.62.170.226/foto/M0012568.jpg;http://www.palazzomadamatorino.it/it/node/30989
1583/L;;arte piemontese;XVI;testiera di letto;legno;http://93.62.170.226/foto/M0012569.jpg;http://www.palazzomadamatorino.it/it/node/30990
1584/L;;arte piemontese;XVI;traversa;legno;http://93.62.170.226/foto/M0012570.jpg;http://www.palazzomadamatorino.it/it/node/30991
1585/L;;arte piemontese;1648 - 1648;letto;legno;http://93.62.170.226/foto/M0012571A.jpg;http://www.palazzomadamatorino.it/it/node/30992
1586/L;;arte piemontese;XVII;belve affrontate ad un albero;legno;http://93.62.170.226/foto/M0012572.jpg;http://www.palazzomadamatorino.it/it/node/17609
1587/L;;arte piemontese;XVII;tavolino;legno;http://93.62.170.226/foto/M0012573.jpg;http://www.palazzomadamatorino.it/it/node/30993
1588/L;;Castello d'Issogne - Aosta;XVII;fiori/ cavaliere/ rampante/ scenette galanti;legno/ avorio;http://93.62.170.226/foto/M0012574A.jpg;http://www.palazzomadamatorino.it/it/node/17610
1590/L;;Venezia;XVIII;credenzino;legno impiallacciato/ legno pregiato/ avorio;http://93.62.170.226/foto/M0012576.jpg;http://www.palazzomadamatorino.it/it/node/30994
1591/L;;arte piemontese;ca. 1670 - 1680;specchiera;legno dorato/ specchio;http://93.62.170.226/foto/M0012577.jpg;http://www.palazzomadamatorino.it/it/node/30995
1592/L;;arte piemontese;XVII;specchiera;specchio;http://93.62.170.226/foto/M0012578.jpg;http://www.palazzomadamatorino.it/it/node/30996
1593/L;;arte piemontese;ca. 1750 - ca. 1760;stelle/ testa di uomo/ vaso di fiori/ casetta/ fetta di formaggio/ ancora;legno;http://93.62.170.226/foto/M0012579.jpg;http://www.palazzomadamatorino.it/it/node/17612
1594/L;;arte piemontese;ca. 1750 - ca. 1760;Santo Vescovo in estasi;legno;http://93.62.170.226/foto/M0012580.jpg;http://www.palazzomadamatorino.it/it/node/17613
1595/L;;arte valtellinese;1663 - 1663;tavolo;legno;http://93.62.170.226/foto/M0012581.jpg;http://www.palazzomadamatorino.it/it/node/30997
1596/L;;arte piemontese;XVII;inginocchiatoio;legno;http://93.62.170.226/foto/M0012582.jpg;http://www.palazzomadamatorino.it/it/node/30998
1600/L;;arte piemontese;XVII;tavolo;legno;http://93.62.170.226/foto/M0012586.jpg;http://www.palazzomadamatorino.it/it/node/31000
1601/L;;arte piemontese;XVII;tavolo;legno;http://93.62.170.226/foto/M0012587.jpg;http://www.palazzomadamatorino.it/it/node/31001
1603/L;;arte piemontese;XVII;tavolo;legno;http://93.62.170.226/foto/M0012589.jpg;http://www.palazzomadamatorino.it/it/node/31002
1606/L;;arte piemontese;XVIII;specchiera;legno dorato/ specchio;http://93.62.170.226/foto/M0012592.jpg;http://www.palazzomadamatorino.it/it/node/31005
1607/L;;arte piemontese;XVIII;specchiera;legno laccato/ specchio;http://93.62.170.226/foto/M0012593.jpg;http://www.palazzomadamatorino.it/it/node/31006
1611/L;;arte piemontese;XVIII;specchiera;legno dorato/ specchio;http://93.62.170.226/foto/M0012597.jpg;http://www.palazzomadamatorino.it/it/node/31009
1612/L;;arte piemontese;XVIII;specchiera;legno dorato/ specchio;http://93.62.170.226/foto/M0012598.jpg;http://www.palazzomadamatorino.it/it/node/31010
1613/L;;arte piemontese;XVIII;stemma Savoia/ stemma Ordine di Santa Annunziata;legno dorato/ legno dipinto;http://93.62.170.226/foto/M0012599.jpg;http://www.palazzomadamatorino.it/it/node/17617
1661/L;;arte piemontese;XIX;cornice;legno;http://93.62.170.226/foto/M0012647.jpg;http://www.palazzomadamatorino.it/it/node/31056
1692/L;;intagliatore piemontese;XVII;battente;legno dorato/ legno laccato;http://93.62.170.226/foto/M0012677.jpg;http://www.palazzomadamatorino.it/it/node/31077
1697/L;;arte francese;XVIII;tavolo apribile;legno/ ottone/ madreperla;http://93.62.170.226/foto/M0012682.jpg;http://www.palazzomadamatorino.it/it/node/31082
1698/L;;arte lombarda;XVIII;cassettone;legno impiallacciato/ radica;http://93.62.170.226/foto/M0012683.jpg;http://www.palazzomadamatorino.it/it/node/31083
1709/L;;manifattura ignota;XV;bauletto;legno policromo/ ferro;http://93.62.170.226/foto/M0012694.jpg;http://www.palazzomadamatorino.it/it/node/31087
1710/L;;minusiere piemontese;XIX;stemma sabaudo coronato retto da leoni rampanti tra foglie di quercia e di alloro;legno dipinto/ legno dorato;http://93.62.170.226/foto/M0012695.jpg;http://www.palazzomadamatorino.it/it/node/17636
1714/L;;minusiere piemontese;XVIII;giochi di putti;legno laccato/ oro/ olio su tavola;http://93.62.170.226/foto/M0012699.jpg;http://www.palazzomadamatorino.it/it/node/17638
1715/L;;minusiere piemontese;XVIII;motivi di volute contrapposte/ fiori/ conchiglia;legno laccato/ oro;http://93.62.170.226/foto/M0012700.jpg;http://www.palazzomadamatorino.it/it/node/17639
1734/L;;minusiere piemontese;XVIII;motivi di volutine e foglie;legno laccato/ oro;http://93.62.170.226/foto/M0012718.jpg;http://www.palazzomadamatorino.it/it/node/17655
1737/L;;arte piemontese;ca. 1750 - ca. 1750;volute/ palmette/ mazzetti di fiori;legno intagliato/ legno dorato/ olio su tela;http://93.62.170.226/foto/M0012721.jpg;http://www.palazzomadamatorino.it/it/node/17658
1740/L;;arte piemontese;ca. 1740 - ca. 1740;porta;legno intagliato/ legno traforato;http://93.62.170.226/foto/M0012725.jpg;http://www.palazzomadamatorino.it/it/node/31092
1744/L/1;;ambito piemontese;XX;applique;legno intagliato/ legno dorato/ legno dipinto;http://93.62.170.226/foto/M0012729AA.jpg;http://www.palazzomadamatorino.it/it/node/31094
1745/L;;ignoto falegname;XIX;scaffale;noce;http://93.62.170.226/foto/M0012730A.jpg;http://www.palazzomadamatorino.it/it/node/31095
1746/L;;intagliatore biellese;XVI;Crocifisso/ Eterno Padre/ Maria/ San Giovanni/ teschio;legno intagliato/ legno colorato;http://93.62.170.226/foto/M0012731.jpg;http://www.palazzomadamatorino.it/it/node/17661
0396/AR;;orafo piemontese;XVIII;reliquiario;legno/ argento;http://93.62.170.226/foto/M0012753.jpg;http://www.palazzomadamatorino.it/it/node/31106
1772/L;;intagliatore saluzzese;XVI;prospettive;legno;http://93.62.170.226/foto/M0012757.jpg;http://www.palazzomadamatorino.it/it/node/17670
1773/L;;Francia;ca. 1750 - 1750;poltrona;legno;http://93.62.170.226/foto/M0012758.jpg;http://www.palazzomadamatorino.it/it/node/31107
0001/VD;;pittore lombardo;ca. 1860 - ca. 1860;primavera;vetro/ legno;http://93.62.170.226/foto/M0012759.jpg;http://www.palazzomadamatorino.it/it/node/17671
0002/VD;;pittore lombardo;ca. 1860 - ca. 1860;estate;vetro/ legno;http://93.62.170.226/foto/M0012760.jpg;http://www.palazzomadamatorino.it/it/node/17672
0003/VD;;pittore lombardo;ca. 1860 - ca. 1860;Autunno;vetro/ legno;http://93.62.170.226/foto/M0012761.jpg;http://www.palazzomadamatorino.it/it/node/17673
0004/VD;;pittore lombardo;ca. 1860 - ca. 1860;Inverno;vetro/ legno;http://93.62.170.226/foto/M0012762.jpg;http://www.palazzomadamatorino.it/it/node/17674
0005/VD;;arte italiana;XVII;Metamorfosi di Ovidio;vetro/ legno;http://93.62.170.226/foto/M0012763.jpg;http://www.palazzomadamatorino.it/it/node/17675
0006/VD;;arte italiana;XVII;Metamorfosi di Ovidio;vetro/ legno;http://93.62.170.226/foto/M0012764.jpg;http://www.palazzomadamatorino.it/it/node/17676
0008/VD;;arte italiana;XVII;Metamorfosi di Ovidio;vetro/ legno;http://93.62.170.226/foto/M0012766.jpg;http://www.palazzomadamatorino.it/it/node/17678
0010/VD;;arte francese;XVII;gentiluomo/ dama/ a cavallo/ a caccia del cervo;vetro/ legno;http://93.62.170.226/foto/M0012768.jpg;http://www.palazzomadamatorino.it/it/node/17680
0012/VD;;arte italiana;XVIII;venditrice di focaccie;vetro/ legno;http://93.62.170.226/foto/M0012770.jpg;http://www.palazzomadamatorino.it/it/node/17682
0013/VD;;arte italiana;XVIII;venditore ambulante;vetro/ legno;http://93.62.170.226/foto/M0012771.jpg;http://www.palazzomadamatorino.it/it/node/17683
0014/VD;;arte piemontese;XVIII;cacciatori che si dissetano;vetro/ legno;http://93.62.170.226/foto/M0012772.jpg;http://www.palazzomadamatorino.it/it/node/17684
0015/VD;;arte piemontese;XVIII;Mercanti che discutono;vetro/ legno;http://93.62.170.226/foto/M0012773.jpg;http://www.palazzomadamatorino.it/it/node/17685
0017/VD;;arte veneziana;XVI;Madonna con bambino/ Santa Caterina/ San Rocco;vetro/ legno;http://93.62.170.226/foto/M0012775.jpg;http://www.palazzomadamatorino.it/it/node/17687
0018/VD;;arte veneta;XVIII;dama/ gentiluomo con maschera;vetro/ legno;http://93.62.170.226/foto/M0012776.jpg;http://www.palazzomadamatorino.it/it/node/17688
0019/VD;;arte veneta;XVIII;concerto al pianoforte;vetro/ legno;http://93.62.170.226/foto/M0012777.jpg;http://www.palazzomadamatorino.it/it/node/17689
0020/VD;;arte veneta;XVIII;conversazione al tavolo di lavoro;vetro/ legno;http://93.62.170.226/foto/M0012778.jpg;http://www.palazzomadamatorino.it/it/node/17690
0021/VD;;arte veneta;XVIII;gentiluomo/ mostra alla dama/ una miniatura;vetro/ legno;http://93.62.170.226/foto/M0012779.jpg;http://www.palazzomadamatorino.it/it/node/17691
0022/VD;;arte veneta;XVIII;coppia danzante all'aperto;vetro/ legno;http://93.62.170.226/foto/M0012780.jpg;http://www.palazzomadamatorino.it/it/node/17692
0023/VD;;arte veneta;XVIII;fanciullo offre fiori a una dama;vetro/ legno;http://93.62.170.226/foto/M0012781.jpg;http://www.palazzomadamatorino.it/it/node/17693
0024/VD;;arte veneziana;ca. 1730 - ca. 1730;uomo/ con cestino di pere;vetro/ legno;http://93.62.170.226/foto/M0012782.jpg;http://www.palazzomadamatorino.it/it/node/17694
0025/VD;;arte veneziana;ca. 1730 - ca. 1730;giovane donna;vetro/ legno;http://93.62.170.226/foto/M0012783.jpg;http://www.palazzomadamatorino.it/it/node/17695
0026/VD;;arte veneziana;ca. 1730 - ca. 1730;giovane accarezza una fanciulla;vetro/ legno;http://93.62.170.226/foto/M0012784.jpg;http://www.palazzomadamatorino.it/it/node/17696
0027/VD;;arte veneziana;ca. 1730 - ca. 1730;donna con fanciullo;vetro/ legno;http://93.62.170.226/foto/M0012785.jpg;http://www.palazzomadamatorino.it/it/node/17697
0028/VD;;arte veneziana;ca. 1730 - ca. 1730;due suonatori;vetro/ legno;http://93.62.170.226/foto/M0012786.jpg;http://www.palazzomadamatorino.it/it/node/17698
0029/VD;;arte veneziana;XVIII;arlecchinata;vetro/ legno;http://93.62.170.226/foto/M0012787.jpg;http://www.palazzomadamatorino.it/it/node/17699
0030/VD;;arte cinese;XVIII;Ratto di Europa;vetro/ legno;http://93.62.170.226/foto/M0012788.jpg;http://www.palazzomadamatorino.it/it/node/17700
0031/VD;;arte italiana;XVII;compianto sul Cristo morto;vetro/ legno;http://93.62.170.226/foto/M0012789.jpg;http://www.palazzomadamatorino.it/it/node/17701
0037/VD;;arte fiamminga;XVII;scena mitologica in paesaggio fluviale;vetro/ piombo;http://93.62.170.226/foto/M0012795.jpg;http://www.palazzomadamatorino.it/it/node/17707
0039/VD;;arte copta;XVI;Spiridione;vetro;http://93.62.170.226/foto/M0012797.jpg;http://www.palazzomadamatorino.it/it/node/17709
0040/VD;;arte italiana;XVII;trionfo di Bacco;vetro/ legno;http://93.62.170.226/foto/M0012798.jpg;http://www.palazzomadamatorino.it/it/node/17710
0044/VD;;arte piemontese;XVI;vetrata;vetro/ legno/ piombo;http://93.62.170.226/foto/M0012801.jpg;http://www.palazzomadamatorino.it/it/node/31108
0045/VD;;arte piemontese;XVI;stemma famiglia Broglia;vetro/ legno/ piombo;http://93.62.170.226/foto/M0012802.jpg;http://www.palazzomadamatorino.it/it/node/17713
0046/VD;;arte piemontese;XVI;vetrata;vetro/ legno/ piombo;http://93.62.170.226/foto/M0012803.jpg;http://www.palazzomadamatorino.it/it/node/31109
0047/VD;;arte piemontese;XVI;vetrata;vetro/ legno/ piombo;http://93.62.170.226/foto/M0012804.jpg;http://www.palazzomadamatorino.it/it/node/31110
0056/VD;;arte francese;ca. 1630 - ca. 1630;soggetti mitologici;vetro/ legno;http://93.62.170.226/foto/M0012813.jpg;http://www.palazzomadamatorino.it/it/node/25544
0057/VD;;arte italiana;XVIII;Sacra Famiglia/ Angeli;vetro;http://93.62.170.226/foto/M0012814.jpg;http://www.palazzomadamatorino.it/it/node/17718
0058/VD;;scuola veneziana;XV;Crocefissione;vetro/ legno;http://93.62.170.226/foto/M0012815.jpg;http://www.palazzomadamatorino.it/it/node/17719
0059/VD;;pittore piemontese;XVII - XVIII;ritratto del Principe Eugenio di Savoia;vetro/ legno;http://93.62.170.226/foto/M0012816.jpg;http://www.palazzomadamatorino.it/it/node/17720
0071/VD;;arte francese;XIX;ritratto di uomo in uniforme militare;vetro/ oro;http://93.62.170.226/foto/M0012827.jpg;http://www.palazzomadamatorino.it/it/node/17730
0072/VD;;arte francese;XVIII;cuore ardente;vetro/ metallo dorato/ oro;http://93.62.170.226/foto/M0012828.jpg;http://www.palazzomadamatorino.it/it/node/17731
0073/VD;;arte francese;XVIII;anello;vetro dorato/ oro;http://93.62.170.226/foto/M0012829.jpg;http://www.palazzomadamatorino.it/it/node/31116
0074/VD;;bottega di Norimberga;XVI;altarolo;vetro dipinto/ vetro dorato;http://93.62.170.226/foto/M0012830.jpg;http://www.palazzomadamatorino.it/it/node/31117
0078/VD;;arte italiana;XVI;San Domenico;vetro;http://93.62.170.226/foto/M0012834.jpg;http://www.palazzomadamatorino.it/it/node/17735
